rotulo;horario;aposta;lucro;numero;multiplicador
good;15:47;2646.49;3484.08;1;45.54
bad;15:47;1834.49;240.94;2;1.64
good;15:48;2275.61;1431.09;3;4.03
good;15:48;2496.36;1533.30;4;3.57
bad;15:49;2841.22;489.55;5;1.78
bad;15:49;2871.31;259.13;6;1.32
good;15:49;2959.24;939.45;7;2.20
bad;15:49;4017.54;28.28;8;1.21
bad;15:50;2936.36;0.55;9;1.06
good;15:50;2829.51;1158.72;10;2.62
bad;15:50;3280.92;6.58;11;1.12
good;15:52;2226.72;3765.31;12;49.48
good;15:52;2136.93;1082.78;13;2.33
good;15:52;1864.29;746.06;14;2.34
good;15:53;2061.39;1477.35;15;3.32
bad;15:53;2152.94;48.15;16;1.21
good;15:54;1874.27;3560.43;17;54.30
good;15:55;2427.19;1342.4;18;3.08
bad;15:55;2424.93;215.56;19;1.50
bad;15:55;2292.39;2.33;20;1.09
good;15:56;2371.05;1321.50;21;2.87
bad;15:56;3391.28;67.33;22;1.16
good;15:57;3132.63;1573.34;23;2.70
good;15:57;3323.31;1645.07;24;3.37
good;15:58;2920.76;3081.91;25;9.39
good;15:59;2676.74;3864.27;26;129.96
good;16:00;1554.23;949.6;27;3.22
good;16:01;2342.48;1102.29;29;2.82
good;16:01;2269.72;1201.88;30;2.65
good;16:02;2464.1;1463.17;31;3.09
good;16:03;2634.35;3394.99;32;12.99
good;16:03;3506.63;3788.33;33;7.07
bad;16:04;3504.21;413.32;34;1.84
good;16:04;2717.11;2043.68;35;8.28
bad;16:05;3290.35;71.37;36;1.30
good;16:06;3539.64;4622.15;37;12.7
good;16:06;3603.98;1820.55;38;2.61
good;16:06;3634.79;783.72;39;2.00
bad;16:07;4180.5;300.54;40;1.39
bad;16:07;4229.09;108.87;41;1.21
good;16:07;3230.81;2354.81;42;3.99
good;16:08;4713.75;2215.29;43;2.59
good;16:09;4359.32;6771.88;44;21.73
bad;16:09;3259.95;582.36;45;1.96
good;16:10;2802.85;1362.48;46;2.67
bad;16:10;3951.34;78.7;47;1.19
good;16:10;4299.15;2107.69;48;2.66
good;16:11;4425.58;4766.57;49;11.97
good;16:12;4229.86;2381.77;50;2.82
bad;16:12;4026.32;610.63;51;1.61
bad;16:12;3795.60;675.90;52;1.89
bad;16:13;5471.45;1.76;53;1.00
good;16:13;4474.22;2609.56;54;2.65
bad;16:13;6339.46;239.83;55;1.25
good;16:14;5438.69;2623.86;56;2.25
bad;16:14;4665.01;830.9;57;1.70
good;16:15;5443.71;3489.3;58;3.27
bad;16:15;4838.62;1272.28;59;1.97
bad;16:15;6397.59;0;60;1.00
bad;16:15;5824.99;15.91;61;1.10
bad;16:16;5256.45;682.24;62;1.82
good;16:17;7039.82;6173.29;63;11.43
bad;16:17;6164.12;249.29;64;1.34
bad;16:17;4252.94;378.19;65;1.53
good;16:18;4552.74;2728.1;66;2.85
good;16:18;5071.55;2607.88;67;2.26
good;16:19;4219.08;4501.8;68;53.41
good;16:20;3787.29;3117.73;69;6.34
bad;16:20;4096.64;663.67;70;1.67
bad;16:20;3252.24;1.35;71;1.06
good;16:21;3239.68;2136.79;72;3.13
bad;16:21;4577.80;21.1;73;1.00
bad;16:21;4679.78;182.35;74;1.25
bad;16:22;5109.64;69.22;75;1.16
good;16:22;4974.51;3438.77;76;4.08
good;16:23;4962.8;3555.85;77;3.85
good;16:24;4591.5;6623.06;78;37.80
bad;16:24;3905.14;172.07;79;1.28
bad;16:24;2751.74;536.93;80;1.68
good;16:25;4094.46;2995.37;81;9.80
bad;16:26;5041.16;43.19;82;1.17
bad;16:26;3980.26;797.56;83;1.79
good;16:26;6242.94;3895.40;84;2.90
bad;16:27;5450.24;373.9;85;1.38
bad;16:27;4539.75;821.25;86;1.93
good;16:27;6354.83;3188.49;87;2.38
good;16:28;5191.96;3034.54;88;3.41
good;16:28;5178.98;3223.04;89;3.28
bad;16:29;4326.63;48.89;90;1.00
bad;16:29;2997.96;454.73;91;1.67
bad;16:29;4154.26;16.1;92;1.13
bad;16:29;5612.05;1114.7;93;1.80
good;16:30;7219.94;6284.35;94;3.55
good;16:30;5087.08;2891.62;95;2.84
bad;16:31;4600.31;29.12;96;1.04
good;16:31;3480.85;1456.04;97;2.42
good;16:32;4809.2;3137.67;98;3.25
bad;16:32;3756.22;2.12;99;1.06
good;16:32;3797.37;2235.89;100;4.02
bad;16:33;4945.71;43.25;101;1.17
bad;16:33;4854.38;4.99;102;1.06
good;16:33;5380.26;3169.41;103;3.09
bad;16:33;3982.56;0;104;1.01
bad;16:34;4332.35;1.89;105;1.06
bad;16:34;4392.84;869.81;106;1.75
bad;16:34;4766.07;0;107;1.00
good;16:35;6221.18;7349.27;108;7.01
bad;16:35;4358.68;295.97;109;1.09
bad;16:35;3031.98;177.5;110;1.56
bad;16:36;3857.6;2.7;111;1.05
bad;16:36;4644.0;255.22;112;1.42
bad;16:36;6711.87;0;113;1.00
bad;16:36;5510.55;121.12;114;1.36
bad;16:37;7230.76;727.46;115;1.99
bad;16:37;7276.53;14.19;116;1.20
good;16:37;5967.98;6142.13;117;4.34
good;16:38;5937.15;3023.44;118;2.10
bad;16:38;2670.39;44.15;119;1.21
bad;16:38;1975.55;36.47;120;1.12
good;16:39;2014.71;1119.51;121;2.72
good;16:39;2410.95;849.75;122;2.21
good;16:39;2128.05;690.11;123;2.11
bad;16:40;2365.39;466.34;124;1.77
bad;16:40;2285.67;0;125;1.00
good;16:40;2550.84;1048.79;126;2.13
bad;16:41;2962.91;716.27;127;1.75
good;16:41;1923.53;1146.0;128;3.92
good;16:42;2710.10;1757.21;129;4.14
good;16:42;2533.04;1197.75;130;2.52
bad;16:42;1983.97;11.39;131;1.13
good;16:43;1758.5;580.42;132;2.25
bad;16:43;2847.18;224.31;133;1.49
good;16:44;2582.89;1069.21;134;2.20
bad;16:44;2651.47;625.28;135;1.89
bad;16:44;3359.51;696.61;136;1.77
good;16:45;3784.1;2038.15;137;2.44
bad;16:45;2821.6;193.45;138;1.45
bad;16:45;2816.7;42.40;139;1.15
bad;16:45;2624.7;0;140;1.02
good;16:46;2641.04;1297.49;141;2.58
bad;16:46;3356.78;115.97;142;1.23
bad;16:46;2572.04;109.14;143;1.30

